Word,Frequency,Example Context
mong,23,(to withdraw affection) ho aelefatsa; (to transfer) ho neela ntho ho o mong
large,22,"A large vessel or boat, especially the one built by Noah."
specific,22,The offspring of a specific ancestor; members of a tribe.
mosebetsi,18,"taba, mosebetsi"
human,18,each of the two upper limbs of the human body from the shoulder to the hand; to supply with weapons
chelete,18,chelete ea pampiri
another,17,"A gentle feeling of fondness, care, or love toward another person; tender attachment or warm regard."
ntoa,17,"Iiar'a, iiialuii-eng a, pnkong tsa. Ammunitifm^ n. linibu tsa ntoa (Ukulo, iiu'sili). Amongst^ prop, bai-'a, muhsireug a. AmoiiiU^ u. pHlu. I)()ii^'-ata. Amputate^ \ lio poiua setiio, bo kbaola."
u,15,"pele, koo ; prep. ho ea le, haufi le, hammoho ; go along! u tsamaee!"
natural,15,a natural ability to do something
ngoe,15,"e fetang e ’ngoe ka molemo; (in health) ho chachamoha, ho ikutloa hamorenyana."
here,15,"The dead body of a human or animal, often used here to describe the tragic end of the rebellious generation."
ntša,15,ho ntša motho mekhoeng e hlokang bohlale
nako,14,nako ea ho robala
pelo,13,"(to move or touch) ho ama pelo, sisimosa; (to be moved) ho perama, sisa pelo; (to make a show) ho iketsisa"
physical,13,Deep emotional or physical suffering.
power,13,Refers to 'El Shaddai'; signifies God's absolute power to fulfill promises of fruitfulness and protection.
typically,13,"give reasons or cite evidence in support of an idea, action, or theory; exchange or express diverging or opposite views, typically in a heated or angry way"
ntlo,13,ntlo ea lijo
strength,13,"Possessing the skill, courage, or strength to perform a task well."
t,12,"to become larger, wider, extended; atl!ll!sa, v. t., to make larger, to enlarge, to expand. Atsoa, v t., to grant, to give, to help with. Au I excl. of astonishment, indeed! R D,g,tized by Google _J"
adj,12,"ho inkela ; adj. e lokelang, e tsoanelang"
legal,12,seize (someone) by legal authority and take into custody; stop or check progress
having,12,having or revealing an exaggerated sense of one's own importance or abilities
sehlopha,12,sehlopha.
tiisa,11,"ho tiisa, omela"
lefu,11,"bohloko, boloetse, lefu, mafu"
moholo,11,ntata-moholo; (ancestors) litatabo-holo
object,11,a particular item or object; a piece of writing included with others in a newspaper or magazine
mokhoa,11,"joaloka, ka mokhoa oa, kamoo, kateng, ka ha, leha"
metal,11,a long rigid piece of metal or wood
context,11,"A state of being unable to see; in this context, a divine strike to confuse the mob."
property,11,A piece of property owned specifically for the purpose of burying the dead.
naha,11,moahi oa motse kapa naha
formal,11,The formal act of setting someone apart for a sacred role or office.
group,11,To be removed from a group or destroyed.
promise,11,To fail to remember; to neglect a promise or a person.
ritual,10,A state of ritual impurity that makes a sacrifice invalid.
molemo,10,molemo
phutheho,10,"phutheho, pokano, lekhotla, mokhatlo, pitso, seema"
lengolo,10,"(of a bird) molomo oa nonyana; (an account) bele, lengolo la molato."
molato,10,"(of a bird) molomo oa nonyana; (an account) bele, lengolo la molato."
batho,10,palo ea batho ba sechaba
li,10,"lerata, molumo oa lintho tse thata li thulana"
litaba,10,"phutheho ea ho bua litaba, thuto"
bohloko,9,"mahlomola a letsoalo, bohloko bo boholo"
sebopeho,9,"(wind) moea; (manners) sebopeho, motsamao; (tune) pina; (v.) ho beea moeeng hore e hloekisoe"
phahameng,9,"phahameng, holimo, ka holimo"
structure,9,A structure upon which offerings or sacrifices are made.
felisa,9,"ho timeletsa, felisa"
liaparo,9,liaparo
visible,9,"(visible) ho bonahala, boneha, rotoha; (come in sight) ho hlaha"
thata,9,"ho kholoa ke, emela, chaela, thata"
point,9,"a shaft sharpened at the front and with feathers or vanes at the back, shot from a bow; a symbol used to point the way"
lekhotla,9,"phutheho, pokano, lekhotla, mokhatlo, pitso, seema"
thibela,9,"ho kualla, thibela."
mo,9,mo-aho oa linotši.
kapele,9,"pel'a, kapele ho."
letsatsi,9,letsatsi la tsoalo
lesela,9,lesela le aloang fatše
sebaka,9,sebaka sa lilemo tse lekholo
process,9,To give birth to a child; the process of labor.
bang,9,ho rera le ba bang; n. lipina ha li binoa li le ngata
k,9,"sekhutlo, k'ona"
hantle,9,ho tšolla hantle; (beer) ho vokola
quality,9,The quality of being worthy of honor or respect; high rank or excellence.
livestock,9,People who look after livestock.
toward,8,"A gentle feeling of fondness, care, or love toward another person; tender attachment or warm regard."
boholo,8,"mahlomola a letsoalo, bohloko bo boholo"
moea,8,"(wind) moea; (manners) sebopeho, motsamao; (tune) pina; (v.) ho beea moeeng hore e hloekisoe"
haufi,8,"e batlile ho, lekhatheng la; (e.g.) ba se ba le haufi"
na,8,"'notsi ; to be alone, ho ba mong, 'notsi ; I was quite alone, ea e-ba 'na qha"
fetola,8,"ho fetola ; to become altered, ho fetoha"
khetha,8,"ho khetha, beea, thonya"
tšoara,8,"(seize) ho tšoara; (fear) ho tšaba, ho hopola ka pelaelo"
side,8,located or moving on every side; in or to as many places throughout an area
masene,8,"oa masene, ea loha"
others,8,a particular item or object; a piece of writing included with others in a newspaper or magazine
ketso,8,"mamelo, temoho, hlokomelo, ketso ea hlompho"
apesa,8,ho apesa ; n. liaparo
solemn,8,"Evoking fear, respect, or intense wonder; grand and solemn."
long,8,"a large Old World monkey with a long dog-like snout and large cheek teeth, native to Africa and Arabia"
container,8,"a cylindrical container bulging out in the middle, traditionally made of wooden staves"
ntle,8,e ntle.
thunya,8,palesa; v. ho thunya.
moeli,8,"moeli, thōko."
territory,8,the edge or boundary of a territory
hlokang,8,"bohlahasellwa, ea hlokang tlhokomelo"
lika,8,selika-lika
social,8,The social and judicial hub of the city; a place where elders and leaders gathered.
mekhoa,8,ea nang le mekhoa e metle
mofuta,8,"lesika, leloko, mofuta"
rera,8,ho rera le ba bang; n. lipina ha li binoa li le ngata
thuto,8,"phutheho ea ho bua litaba, thuto"
marang,8,faeba; mehala ea khanya bakeng sa marang-rang a potlakileng.
rang,8,faeba; mehala ea khanya bakeng sa marang-rang a potlakileng.
senya,7,"ho tsoberenya, senya bolisa"
move,7,"(to move or touch) ho ama pelo, sisimosa; (to be moved) ho perama, sisa pelo; (to make a show) ho iketsisa"
suffering,7,"A state of being neglected, treated poorly, or suffering emotional hardship."
tsosa,7,"ho tsosa, tsabisa"
thusa,7,"ka])ele ; to go afiead (lit. and fig.), ho tsaela pele. Aid, V. ho thusa, tlatsa, tlatsetsa ; ii thaso. Ail, V. ho baba, kuhi, ba bohloko"
refers,7,Refers to 'El Shaddai'; signifies God's absolute power to fulfill promises of fruitfulness and protection.
makatsa,7,"ho makatsa ; to be amazed, ho babatseha, makala"
holo,7,ntata-moholo; (ancestors) litatabo-holo
usually,7,"Forefathers; people from whom one is descended, usually more remote than grandparents."
kae,7,kae le kae.
lijo,7,"takatso ea lijo, takatso"
kopa,7,"ho kopa, qela, ho sebetsa ka pheello, ho lokela, ho lumellana le"
worn,7,a protective garment worn over the front of one's clothes and tied at the back
surface,7,"a region or part of a town, a country, or the world; the measurement of a surface"
self,7,"ho phethetsa, lefetsa ; to avenge otie's self, ho iphethetsa."
way,7,"give reasons or cite evidence in support of an idea, action, or theory; exchange or express diverging or opposite views, typically in a heated or angry way"
upper,7,each of the two upper limbs of the human body from the shoulder to the hand; to supply with weapons
mali,7,mothapo oa mali
particular,7,a particular item or object; a piece of writing included with others in a newspaper or magazine
lefa,7,"(to make amends) ho inyatsa; (to expiate) ho lefa, ho etsa pheko"
letho,7,ea sa tšabeng letho
money,7,"the temporary release of an accused person awaiting trial, usually on payment of a sum of money"
produce,7,"(to carry) ho jara; (to suffer) ho mamella; (to produce) ho tsoala, ho bea litholoana."
kantle,7,"kathoko ho, kantle ho, haufi le; to be beside one's self, ho ferekana haholo."
status,7,The special privileges and status belonging to the firstborn son.
nyatsa,7,"ho nyatsa, ho bea molato."
israel,7,The act of speaking sacrilegiously about God or sacred things; a capital offense in ancient Israel.
taken,7,The air taken into or expelled from the lungs.
sex,7,"moena, moholo (of the same sex); kgaitseli (of the opposite sex)."
boima,7,"phahlo, boima; v. ho imela."
kholo,7,"tsietsi e kholo, sehloho"
hlakola,7,"ho hlakola taba, ho felisa taba"
karolo,7,"khaohano, karolo ea buka, khaolo"
hloekileng,7,ea hloekileng pelong le 'meleng
theko,7,e theko e tlaase
sefahleho,7,"ea thabileng, ea sefahleho se khanyang"
near,7,ho koala; (near) haufi
morero,7,morero oa ba bangata oa phetolohelo
kang,7,ntho e kang kalaka e etsoang ke kokoanyana ea leoatle
tsela,7,"moo ho lebiloeng, tsela"
metsi,7,"e mongobo, e metsi"
referring,7,"A state of complete emptiness or destruction, specifically referring to the land during exile."
itseng,7,chelete e etsang bo-ranta ba itseng
consisting,7,"Fine, dry powder consisting of tiny particles of earth or waste matter."
atmosphere,7,the firmament; the atmosphere or space above the earth
sheep,7,"The broad tail of certain sheep, removed entirely for the altar."
worship,7,A sacred assembly of people called together for worship and to abstain from ordinary work.
g,6,"to become larger, wider, extended; atl!ll!sa, v. t., to make larger, to enlarge, to expand. Atsoa, v t., to grant, to give, to help with. Au I excl. of astonishment, indeed! R D,g,tized by Google _J"
respect,6,"(to wonder at) ho makala ke, bōha, tsota, babatsa; (to feel respect) ho hlompha"
lumela,6,"(to permit to enter) ho amohela, kenya; (to receive as true) ho lumela, kholoa ke"
sera,6,"sera, mohanyetsi"
keletso,6,"keletso, temoso"
mosa,6,"mosa, molemo"
morao,6,"morao, ka morao ; prep. ka mora, ka morao"
tumellano,6,tumellano
tsohle,6,"eohle, tsohle, bohle ; n. kaofela ha"
hlahisa,6,ho hlahisa motatolo
hammoho,6,"pele, koo ; prep. ho ea le, haufi le, hammoho ; go along! u tsamaee!"
severe,6,Severe mental or physical pain; deep suffering.
phoofolo,6,"sebōpuoa, phoofolo; (wild) nyamasane"
sight,6,"(visible) ho bonahala, boneha, rotoha; (come in sight) ho hlaha"
hlaha,6,"(visible) ho bonahala, boneha, rotoha; (come in sight) ho hlaha"
sebetsa,6,"ho kopa, qela, ho sebetsa ka pheello, ho lokela, ho lumellana le"
required,6,"put (things) in a neat, attractive, or required order; organize or plan"
skill,6,the expression or application of human creative skill and imagination; works produced by such skill
rather,6,made or produced by human beings rather than occurring naturally
mokhatlo,6,"phutheho, pokano, lekhotla, mokhatlo, pitso, seema"
lekanya,6,(to take on) ho inkela; (to take for granted) ho lekanya
making,6,"The act of making amends for sin or error, specifically the ritual reconciliation between God and man."
provide,6,To make amends or provide a covering for sins to restore a relationship with God.
temporary,6,"the temporary release of an accused person awaiting trial, usually on payment of a sum of money"
leoatle,6,(of the sea) koro ea leoatle.
molomo,6,molomo oa nonyana.
tsoala,6,"(to carry) ho jara; (to suffer) ho mamella; (to produce) ho tsoala, ho bea litholoana."
space,6,the point in time or space at which something begins
tsona,6,ho tsona
heavy,6,"A heavy load; figuratively, the difficult life of slavery."
total,6,An offering entirely consumed by fire as a total act of devotion.
mofere,6,mofere-fere mosebetsiing.
fere,6,mofere-fere mosebetsiing.
bala,6,ho bala (lipalo)
eo,6,"nako eo ntoa e loanang ka eona, ntoa, phutuhelo"
morena,6,"molaoli, morena"
hloko,6,"hloko, hlokomelo, pabalelo"
fatše,6,lesela le aloang fatše
lahla,6,"ho akhela, ho lahla"
tlohela,6,"ho lesa, ho tlohela, ho phetsa, ho haotsa"
lintho,6,"lerata, molumo oa lintho tse thata li thulana"
bua,6,"phutheho ea ho bua litaba, thuto"
muso,6,ho nka ntho ea e mong ka taelo ea 'muso
hana,6,"ho ngangisa, ho hana taba e boleloang"
tšoanelo,6,"ho lokelang e mong, tekelo, tšoanelo"
based,6,an ancient measure of length based on the forearm
crops,6,to prepare and use land for crops
sunset,6,The period of light between sunrise and sunset.
senyeha,6,ho senyeha ka ho ja le ho noa ho tlola
hlalosa,6,ho hlalosa; ho beela moeli oa naha kapa taba
arola,6,"ho lopolla, ho arola"
tiny,6,"Fine, dry powder consisting of tiny particles of earth or waste matter."
matter,6,"Fine, dry powder consisting of tiny particles of earth or waste matter."
metaphor,6,"A metaphor for innumerable descendants, stressing the vast growth of the future nation."
nete,6,"ea mafolofolo, ea tiisitseng; in earnest: ka 'nete"
lefatše,6,lefatše; (soil) mobu
molao,6,"molao, taelo ea morena"
mochini,6,fekse; ho romela molaetsa ka mochini oa fekse.
growing,6,"a piece of ground, adjoining a house, used for growing flowers, fruit, or vegetables"
morally,6,Acting or done in accordance with what is morally right and fair.
standing,6,A standing stone monument set up to memorialize a sacred event or a boundary.
unit,6,the unit of reproduction of a flowering plant
reproduction,6,the unit of reproduction of a flowering plant
puso,5,"puso, tiso"
khabisa,5,"ho khabisa, lilopha, hlophisa"
emela,5,"ho bulella, emela"
tiiso,5,"tiiso, komelo"
khale,5,"pele, khale"
ferekanya,5,"(to stir) ho tsukutla, fulua, tsoka, tsokotsa; (to disturb) ho ferekanya, tsosa; (mentally) ho ferekana, ho erehana"
lumellana,5,"ho lumellana, ho utloana"
tlatsa,5,"ka])ele ; to go afiead (lit. and fig.), ho tsaela pele. Aid, V. ho thusa, tlatsa, tlatsetsa ; ii thaso. Ail, V. ho baba, kuhi, ba bohloko"
hore,5,"(wind) moea; (manners) sebopeho, motsamao; (tune) pina; (v.) ho beea moeeng hore e hloekisoe"
eohle,5,"eohle, tsohle, bohle ; n. kaofela ha"
moputso,5,(salary) moputso
notsi,5,"'notsi ; to be alone, ho ba mong, 'notsi ; I was quite alone, ea e-ba 'na qha"
khang,5,"phapang, khang, tseko"
fapana,5,"ho fapana, ho phomotsana"
kamehla,5,"kamehla, mehla eohle"
grow,5,(to make better) ho bakisa; (to grow better) ho baka.
lio,5,"Iiar'a, iiialuii-eng a, pnkong tsa. Ammunitifm^ n. linibu tsa ntoa (Ukulo, iiu'sili). Amongst^ prop, bai-'a, muhsireug a. AmoiiiU^ u. pHlu. I)()ii^'-ata. Amputate^ \ lio poiua setiio, bo kbaola."
lihlomo,5,"plur. libctsa, lihlomo. Ascent, n, nioepa, mothipo-"
message,5,A celestial being sent by God to deliver a message or execute judgment.
caused,5,A loss of courage or hope; a state of deep depression caused by hardship.
bonahalang,5,e bonahalang
rorisa,5,"ho etsa lehofi, ho opa ka liatla, ho rorisa"
lokelang,5,"ho inkela ; adj. e lokelang, e tsoanelang"
measurement,5,"a region or part of a town, a country, or the world; the measurement of a surface"
tšepe,5,"lihlomo, liaparo tsa tšepe tsa ntoa"
position,5,To get up from sleep or a sitting position; to begin an action.
emisa,5,"ho tšoara, emisa"
sense,5,having or revealing an exaggerated sense of one's own importance or abilities
symbol,5,"a shaft sharpened at the front and with feathers or vanes at the back, shot from a bow; a symbol used to point the way"
items,5,Specially designed items requiring creative skill and planning.
m,5,"plur. m()h"")ra."
lahleha,5,"ka lio kheloha, ka ho lahleha ; to go astray, ho lahleha. Asunde}', adv. ka ho khaohaiiya, ka likoto. At, prep, ka, ho, ha, hauH lo. At hirst, adj. e iiyoriloeng. Atone, V. (to make amends) ho inyat.sa ; {to e.rpiate) holefella, ho etsa pheko. Attack, V. ho (jala motho, loantsa, I'lilnhela, tsohela mafia ; n. phnthnhelo, mocjholo. Attain, V. ho fih"
ja,5,"(a feof/// pitsfcscnU o///[/'e)seb6puoa ; (a 6facnV) plioofolo ; a wikl antnuil,ny.imiitsiiue; adj. ea b'UOpuoa. Animosity^ n. lilonanio, bloeoAnkU\ n le«ja(|ailane."
qoba,5,"ho kaekuetsa, phema, qoba, qena, sesefa"
intense,5,"Evoking fear, respect, or intense wonder; grand and solemn."
sethoto,5,"e thata, e sethoto, e mietalang"
mpe,5,e mpe
payment,5,"the temporary release of an accused person awaiting trial, usually on payment of a sum of money"
kotsi,5,"selapa, ntho e kotsi"
batla,5,ke batla ke se na chelete e lekanang.
lekanang,5,ke batla ke se na chelete e lekanang.
sekepe,5,(a ship) sekepe.
loana,5,"lerako le etselitsoeng ho loana, lehera."
nonyana,5,molomo oa nonyana.
phaposi,5,"phaposi, kemere."
moves,5,Small gold instruments attached to the priest's robe that produce sound when he moves.
tlas,5,"tlas'a, katlase."
shoa,5,"to be benumbed, ho shoa bohatsu."
kabelo,5,"(a room in a ship) phaposi ea ho robala sekepeng; (an appointment) kabelo ea motho; to give a wide berth, ho kuekuetla haholo."
neha,5,"ho neha, ho fa."
tlama,5,"ho tlama, ho bofolla; (to bind a book) ho khabisa buka."
kobo,5,"kobo, kobo ea boya."
lla,5,ho lla (joalo ka nku kapa poli).
tsoa,5,ho tsoa madi; (to draw blood) ho phemisa.
ratang,5,ea ratang mali
letheba,5,letheba; v. ho sila1 fatsa.
sebete,5,ka sebete
tissue,5,any of the pieces of hard tissue making up the skeleton
tlola,5,ho tlola; (limit) n. moeli
associated,5,A combustible mineral (sulfur) associated with volcanic activity and divine judgment.
lebitso,5,"(to name) ho rea lebitso; (to summon) ho bitsa, ho hoeletsa, pitso; (to invite) ho mema"
tekanyo,5,tekanyo ea ntho kamoo e ka tlalang ka teng
letlalo,5,"taba; lekese, letlalo"
lesa,5,"ho lesa, ho tlohela, ho phetsa, ho haotsa"
etsoang,5,lebitso le akaretsang lijalo tseo ho etsoang bohobe ka tsona
taelo,5,"ho bea motho molato; ho hira; ho laela; (attack) ho phutuhela; n. taelo, pabalelo"
khothatsa,5,"ho thabisa, ho khothatsa; n. mokhosi oa thabo"
hlakileng,5,"e hlakileng, e bonahalang"
tla,5,ho tla
perform,5,"Possessing the skill, courage, or strength to perform a task well."
belaela,5,"ho belaela, ho korotla"
tletseng,5,"e tletseng, e phethehileng"
tela,5,"ho tela, ho lumela"
bakeng,5,"bakeng sa, holim'a"
mollo,5,mollo o moholo
community,5,The whole body of the people of Israel as a community.
noha,5,"ho hlapantša, ho tlama; (by magic) ho noha"
ngaka,5,"senohe, ngaka (ea Mo-Sotho)"
tiileng,5,"e tiileng, ea eang ka tseo a ipolelang ka tsona"
tiisetso,5,"tieo, tiisetso, pheello"
sele,5,e ka fetoleloang ntho e sele
isa,5,"ho isa, ho rwala"
supernatural,5,A solemn utterance intended to invoke a supernatural power to inflict harm or punishment on someone.
sunrise,5,The first appearance of light in the sky before sunrise.
legally,5,To be legally established as a possession; to transfer ownership formally.
danger,5,The action of being rescued or set free from danger or starvation.
latola,5,"ho latola, ho itatola, ho phephetha, ho quqabula, ho hana"
nyenyane,5,litaba tse nyenyane; makolopetso
mafolofolo,5,"ea mafolofolo, ea tiisetsang, ea hlokomelang; n. sekhothali"
leshome,5,lintho tse leshome le metso e 'meli
feleng,5,e sa feleng kapele
rises,5,the direction toward the point of the horizon where the sun rises at the equinoxes
sethoathoa,5,"e nkoang; n. lefu le nkoang, seda. — Epidermis, n. khuebd. Fipilepsy, » sethoathoa, ho shua sethoathoa."
lichelete,5,theknoloji e sebelisoang ho tsamaisa litaba tsa lichelete.
hebrew,5,A divine title mapping to the Hebrew Atta-Ele-roi (Thou art a God of seeing).
representing,5,"Instruments of measurement that are accurate and not tampered with, representing integrity in trade."
authoritative,5,to give an authoritative order
relax,5,to cease work or movement in order to relax or recover strength
impurity,4,A state of ritual impurity that makes a sacrifice invalid.
molimo,4,"ho khumamela, ho sebeletsa Molimo"
tsoela,4,ho tsoela pele
tsietsi,4,"ntho e tsohang e hlahela motho, tsietsi, ngope-a-sesoha"
show,4,"(to move or touch) ho ama pelo, sisimosa; (to be moved) ho perama, sisa pelo; (to make a show) ho iketsisa"
emotional,4,"A state of being neglected, treated poorly, or suffering emotional hardship."
tšabisa,4,"ho tsosa, tšabisa"
mahlo,4,"e tsohileng, e tsohang; (to be afraid) ho tšaba, tsoha, qaea, feha mahlo"
prep,4,"morao, ka morao ; prep. ka mora, ka morao"
lilemo,4,"(time of life) lilemo; (a period of time) motsotso, ngoaha."
ele,4,"ka])ele ; to go afiead (lit. and fig.), ho tsaela pele. Aid, V. ho thusa, tlatsa, tlatsetsa ; ii thaso. Ail, V. ho baba, kuhi, ba bohloko"
tlatsetsa,4,"ka])ele ; to go afiead (lit. and fig.), ho tsaela pele. Aid, V. ho thusa, tlatsa, tlatsetsa ; ii thaso. Ail, V. ho baba, kuhi, ba bohloko"
thuso,4,"ho thusa, tlatsa, tlatsetsa ; n. thuso"
boloetse,4,"bohloko, boloetse, lefu, mafu"
leka,4,"(to endeavor) ho pheella, leka; (to level) ho korola, eka; (n. intention) phihlelo, pheello"
eka,4,"(to endeavor) ho pheella, leka; (to level) ho korola, eka; (n. intention) phihlelo, pheello"
pheello,4,"(to endeavor) ho pheella, leka; (to level) ho korola, eka; (n. intention) phihlelo, pheello"
letsoso,4,"ho tsosa, ho hlaba mokhosi ; n. letsoso"
utloang,4,"e utloang, e phelang; (to be alive) ho phela"
phela,4,"e utloang, e phelang; (to be alive) ho phela"
kokobetsa,4,"(to quiet) ho khutsisa; (pain) ho bebola, kokobetsa bohloko"
setšoantšo,4,"setšoantšo, papiso"
fulfill,4,Refers to 'El Shaddai'; signifies God's absolute power to fulfill promises of fruitfulness and protection.
bokella,4,ho bokella
baka,4,(to make better) ho bakisa; (to grow better) ho baka.
har,4,"har'a, mahareng a, pakong tsa"
thetsa,4,"ho bapalisa, thetsa"
sent,4,A celestial being sent by God to deliver a message or execute judgment.
khathatsa,4,"ho khathatsa, hlollea, totonisa, hlopha, felisa pelo"
khama,4,"tšephe, letsa, khama"
takatso,4,"takatso ea lijo, takatso"
tšoanang,4,"ho inkela; (adj.) e lokelang, e tšoanang"
skilled,4,One who is skilled in using a bow and arrow for hunting and defense.
opposite,4,"give reasons or cite evidence in support of an idea, action, or theory; exchange or express diverging or opposite views, typically in a heated or angry way"
situation,4,"(of a problem, opportunity, or situation) emerge; become apparent"
military,4,an organized military force equipped for fighting on land
put,4,"put (things) in a neat, attractive, or required order; organize or plan"
re,4,"ho fihla, ho re qi"
destination,4,reach a destination; (of a time or event) come or occur
expression,4,the expression or application of human creative skill and imagination; works produced by such skill
task,4,a person who creates paintings or drawings as a profession or hobby; a person skilled at a particular task
designed,4,Specially designed items requiring creative skill and planning.
else,4,used to indicate that something happens during the time when something else is taking place; in the way that
robala,4,e robetseng; (to be asleep) ho robala; (to fall asleep) ho ithoballa
phutha,4,"ho phutha, bokella, bokanya, bokana"
pokano,4,"phutheho, pokano, lekhotla, mokhatlo, pitso, seema"
pitso,4,"phutheho, pokano, lekhotla, mokhatlo, pitso, seema"
ma,4,"e lialeiili'iig, c itsenang ; /o />/• funjnf. bo lialefa, tlokomas itseiia, llala pelo ; t<t he autjnj agaiuDt, bo lialefela, tone la ma bio."
mafube,4,mafube
qotho,4,"bokhonatla, takatso ea ho rua, qotho"
reverence,4,"Not causing terror, but inspiring holy awe, deep reverence, or a sense of the divine presence."
native,4,"a large Old World monkey with a long dog-like snout and large cheek teeth, native to Africa and Arabia"
young,4,a very young child or animal
official,4,send (someone) away from a country or place as an official punishment
hae,4,ea sitloang ho lefa melato ea hae.
unable,4,unable to pay outstanding debts
seholo,4,"sebōka se seholo sa lijo, selallo se seholo."
religious,4,"the Christian religious rite of sprinkling water on to a person's forehead or of immersing them in water, symbolizing purification or regeneration and admission to the Christian Church"
ship,4,(a ship) sekepe.
sharp,4,the sharp explosive cry of a dog (verb)
wooden,4,"a cylindrical container bulging out in the middle, traditionally made of wooden staves"
preparing,4,a wide open container used for preparing food or for washing
motheo,4,"motheo, selulo."
bea,4,"(to carry) ho jara; (to suffer) ho mamella; (to produce) ho tsoala, ho bea litholoana."
shapa,4,"(to knock) ho otla, ho bata, ho shapa; (to overcome) ho hlola."
hlola,4,"(to knock) ho otla, ho bata, ho shapa; (to overcome) ho hlola."
bete,4,"malao, liphate, bete."
nama,4,nama ea khomo ha e hlabiloe.
location,4,A location in the southern Negeb marking a site of covenant and water rights.
sound,4,Small gold instruments attached to the priest's robe that produce sound when he moves.
thibella,4,ho thibella ka ntoa.
fetang,4,e fetang tsohle ka molemo.
fana,4,"ho neha, ho fana."
buka,4,"ho tlama, ho bofolla; (to bind a book) ho khabisa buka."
tsoalo,4,"tsoalo, tsoelelo; (to give birth) ho beleha, ho tsoala."
nku,4,ho lla (joalo ka nku kapa poli).
thabo,4,thabo e khōlō.
silafatsa,4,"selapa, tšila; v. ho silafatsa."
phoso,4,"ho foša, ho etsa phoso; n. phoso."
setopo,4,’mele; (a corpse) setopo.
pheha,4,"(as water) ho bela; (to cook) ho pheha; n. (a sore) ntho, lethopa."
bohale,4,"bohale, ea sa tšabeng."
skeleton,4,any of the pieces of hard tissue making up the skeleton
sefuba,4,sefuba.
mala,4,mala
building,4,Blocks of baked clay or other material used for building.
borasala,4,borasala; v. ho hloekisa ka borasala.
hloekisa,4,borasala; v. ho hloekisa ka borasala.
haha,4,ho haha.
ngata,4,"ngata, se-faha."
bosiu,4,lesholu (le phunyang matlo bosiu).
phokolo,4,"phokolo, therekelo"
leg,4,"namane, lerole, lesole; (of the leg) tlhafu"
khotso,4,"khotso, thōlo; v. ho tholisa, ho kholisa."
nka,4,"ho ka, ho ba le matla a; (I can) nka; (they can) ba ka"
teng,4,tekanyo ea ntho kamoo e ka tlalang ka teng
bodies,4,Dead animal bodies.
sechaba,4,palo ea batho ba sechaba
tseo,4,lebitso le akaretsang lijalo tseo ho etsoang bohobe ka tsona
motsamaisi,4,motsamaisi oa phutheho
mashala,4,mashala a lifate
lerato,4,"ea nang le lerato, ea fanang"
meno,4,ho kakatletsa; (teeth) ho thothomela ha meno
thabisa,4,"ho thabisa, ho khothatsa; n. mokhosi oa thabo"
borena,4,borena
kereke,4,"kereke, phutheho"
bohlale,4,ho ntša motho mekhoeng e hlokang bohlale
leng,4,"ho batla ntho e leng ea hao, ho tšeka"
tšeka,4,"ho batla ntho e leng ea hao, ho tšeka"
lerata,4,"mohorehulu, lerata"
together,4,Fasteners used to couple the curtain sets together to make 'one' tabernacle.
hoama,4,lehloele; v. ho hoama
khoebo,4,khoebo
