Word,Frequency,Example Context
mongolo,1,mongolo o fatiloeng o kang oa tiiso
fatiloeng,1,mongolo o fatiloeng o kang oa tiiso
betlang,1,kofuto e betlang
talimana,1,ho talimana ka li-
bapile,1,ho ema u bapile le
ilibana,1,ilibana
kileng,1,e 16. kileng
po,1,té&po
boha,1,boha-
molun,1,molun
tsualle,1,§ tsualle.
sehoai,1,sehoai
nyane,1,1. chelete e ‘n nyane.
eemeng,1,eemeng
ipoulang,1,ipoulang.
lefura,1,n. lefura
koahelang,1,mafura a koahelang mala
nala,1,nala
fatten,1,t8ila. 616 Fatten
fosang,1,fosang
fosehileng,1,fosehileng.
lerekd,1,lerekd
tsdho,1,tsdho
ya,1,tšabo ya Molimo
dhileng,1,t&dhileng.
sebdka,1,sebdka
rorise,1,ketso e rorise-hang.
hang,1,ketso e rorise-hang.
molekane,1,molekane
patala,1,patala
tsua,1,e tsua-lang haholo
lang,1,e tsua-lang haholo
khadhano,1,khadhano
ekae,1,e sé ekae
botaepehi,1,1 botaepehi
bokha,1,bokha-bane.
bane,1,bokha-bane.
tema,1,tema
nah,1,nah to take the field
take,1,nah to take the field
the,1,nah to take the field
field,1,nah to take the field
ntoeng,1,ho ntoeng.
tali,1,tali.
tang,1,e 1 tang ho loana.
loana,1,e 1 tang ho loana.
hlabano,1,hlabano
phas,1,phas
yetello,1,adj. en yetello.
fihlela,1,fihlela. eFine
efine,1,fihlela. eFine
tefiso,1,tefiso
atefelo,1,atefelo
sebeso,1,‘sebeso.
kopaneng,1,kopaneng.
bonatla,1,bonatla
hlaheloa,1,ho hlaheloa ke bohloko bo bong ka mokhoa o sa hloleheng
hloleheng,1,ho hlaheloa ke bohloko bo bong ka mokhoa o sa hloleheng
khabo,1,khabo.
lesaho,1,lesaho.
halima,1,halima.
koma,1,koma ea mosili.
mosili,1,koma ea mosili.
tsitsitseng,1,e tsitsitseng.
lehotata,1,lehotata.
tsitsitsa,1,tsitsitsa.
qeko,1,qeko.
phapha,1,phapha.
kutiloeng,1,boea ba nku bo kutiloeng
temeka,1,ho temeka.
khutla,1,khutla ka santhao
santhao,1,khutla ka santhao
honyela,1,honyela.
betsa,1,betsa.
thupa,1,otla ka thupa.
letla,1,letla la phofo.
lelutla,1,lelutla
phalla,1,ho phalla ho sa khotseng
khotseng,1,ho phalla ho sa khotseng
kolla,1,ho kolla.
rura,1,rura.
tsietsa,1,tsietsa
latella,1,latella.
mohlahlami,1,mohlahlami.
liyo,1,liyo
mofahe,1,mofahe nice food
nice,1,mofahe nice food
food,1,mofahe nice food
litheohelan,1,litheohelan.
kapepe,1,u bua kapepe.
foot,1,mohlala. Foot and mouth disease
mouth,1,mohlala. Foot and mouth disease
disease,1,mohlala. Foot and mouth disease
mokaka,1,n. mokaka.
kabaka,1,kabaka la
habore,1,habore
sekhahla,1,sekhahla.
letsiboho,1,letsiboho
sasa,1,ho-sasa.
porest,1,_ Porest
moru,1,n. moru.
sefutho,1,sefutho
hakuoa,1,hakuoa
lese,1,lese-
teselo,1,teselo
tkuarelo,1,tkuarelo.
mohla,1,mohla-mouéne
furalla,1,furalla.
seqho,1,seqho-bo.
hahiloe,1,metse e hahiloe ka marako
marako,1,metse e hahiloe ka marako
ma,1,ma-tlafatsa.
tlafatsa,1,ma-tlafatsa.
qhobo,1,se-qhobo
molate,1,e molate
ralo,1,m« ralo.
foko,1,e foko-
fraternise,1,e hlanyang. 1 Fraternise
fraud,1,2 = Fraud
mano,1,mano
rabele,1,se-) rabele. 1 Freewill
freewill,1,se-) rabele. 1 Freewill
un,1,un. boithatelo.
motle,1,mpho ea moea o motle
hlanya,1,bo-hlanya.
inma,1,Inma-
mole,1,mole
sei,1,sei-
tkabo,1,tkabo
abis,1,t&abis»
fe,1,fe-hla mahlo
hla,1,fe-hla mahlo
neneta,1,neneta. Fright{ul
fright,1,neneta. Fright{ul
ul,1,neneta. Fright{ul
abehang,1,adj e t&abehang
tha,1,tha bisang.
bisang,1,tha bisang.
thalaba,1,thalaba-nya.
nya,1,thalaba-nya.
front,1,ho tloha ho. Front
serame,1,serame.
chatsoa,1,chatsoa.
soso,1,soso-
hlahisang,1,e hlahisang lithdloana.
lis,1,lis
penama,1,tla! penama.
lum,1,ho lum
halefa,1,ho halefa.
mosusso,1,mosusso: make fun of
make,1,mosusso: make fun of
fun,1,mosusso: make fun of
soholl,1,ho soholl
ie,1,ha-ie lefileng. Furlong
lefileng,1,ha-ie lefileng. Furlong
furlong,1,ha-ie lefileng. Furlong
kuardlo,1,1 kuardlo ea boroba u
boroba,1,1 kuardlo ea boroba u
meno,1,meno e ‘meli ea mile. eFurlough
meli,1,meno e ‘meli ea mile. eFurlough
mile,1,meno e ‘meli ea mile. eFurlough
efurlough,1,meno e ‘meli ea mile. eFurlough
abaka,1,n. tumello: ea ho lok6loha mosebetsing ka abaka se itseng. ern = Furnace
ern,1,n. tumello: ea ho lok6loha mosebetsing ka abaka se itseng. ern = Furnace
furnace,1,n. tumello: ea ho lok6loha mosebetsing ka abaka se itseng. ern = Furnace
sebopi,1,sebopi
onto,1,onto
tulo,1,li-be tulo
ete,1,ete. ) a
furrow,1,Furrow
pluu,1,moeli o etsoang ka pluu
ford,1,10 ford.
ca,1,ca hape
tlaka,1,ho tlaka-D. lla
d,1,ho tlaka-D. lla
tsebisahaleng,1,e sa 3i tsebisahaleng.
moloko,1,moloko
tlotlo,1,tlotlo ea Molimo
tsie,1,tsie
pusetso,1,nyehelo ea pusetso
folisang,1,ea le folisang
sethole,1,sethole
mookameli,1,mookameli oa baprista
mmila,1,mmila o moholo
boikokobetso,1,boikokobetso
zuza,1,zuza
rapella,1,rapella
thathamiso,1,thathamiso
boulelang,1,Molimo ea boulelang
swaswa,1,swaswa
tokoloho,1,Selemo sa Tokoloho
likotola,1,likotola tsa sona
sona,1,likotola tsa sona
tshoano,1,tshoano
ditaba,1,ditaba tsa tsoalo
makhabunyane,1,liipone tsa makhabunyane
modimo,1,modimo wa bohata
wa,1,modimo wa bohata
lenyenyane,1,leseli le lenyenyane
itlammeng,1,ea itlammeng
eona,1,bolokoe ba eona
tsoile,1,sechaba se tsoile taolong
nyetswe,1,nyetswe ke monna
tsheane,1,tsheane
mekotikoti,1,mekotikoti
lifatla,1,lifatla
tšoele,1,likharenate ka tšoele e putsoa
tsamaea,1,Ke tla tsamaea
boikhohomoso,1,ka boikhohomoso
itlhapa,1,itlhapa
qhobi,1,qhobi
sireletsang,1,ba sireletsang morao
recede,1,recede
soabela,1,soabela
thoko,1,thoko
khutliso,1,khutliso
tefetso,1,tefetso
tlhokisitse,1,tlhokisitse pelehi
pelehi,1,tlhokisitse pelehi
likete,1,balaoli ba ba likete
likhapha,1,likhapha
tlohelitsoeng,1,pōli e tlohelitsoeng
dinaka,1,dinaka
hetla,1,hetla
moditjhaba,1,moditjhaba
borwa,1,Borwa
kgehla,1,kgehla
phelang,1,phelang
setseng,1,ea setseng
tlamo,1,tlamo
mekhoro,1,mekhoro ea makala
lehwatateng,1,lehwatateng
ntlhakole,1,u ntlhakole bukeng
bukeng,1,u ntlhakole bukeng
inamela,1,inamela
fumanoa,1,lesholu le fumanoa le thuha
ipetlele,1,ipetlele matlapa
hlahuna,1,ho hlahuna
bolotswa,1,bolotswa
pshatla,1,pshatla
rohakana,1,rohakana
hlokahala,1,hlokahala
oma,1,oma
moroetsana,1,eka moroetsana
hlome,1,u hlome tabernakele
tabernakele,1,u hlome tabernakele
phaphamala,1,phaphamala
moshe,1,Moshe a talima mosebetsi
koetelang,1,ea koetelang
hlomphollang,1,hlomphollang
tule,1,ho tule hore e be phofo
rabela,1,rabela
thibeloa,1,sechaba se thibeloa
nyolla,1,nyolla
hasanya,1,hasanya
thobalano,1,thobalano
phukalalitseng,1,ba phukalalitseng mapheo
majoe,1,ntlepetsa ka majoe
mofapa,1,mofapa-hloho
reroang,1,sebe se sa reroang
tomoso,1,bohobe bo se nang tomoso
lotho,1,lotho tse halalelang
bofora,1,ea nang le bofora
moferefere,1,moferefere
khethelo,1,khethelo
